Name,Transaction_date,Product,Price,Payment_Type,City,State,Country,Account_Created,Last_Login,Latitude,Longitude
Bev,1/18/2009 13:49,Product2,3600,Visa,San Ramon                   ,CA,United States,1/11/2009 12:00,1/19/2009 18:07,37.78,-121.97694
Dave and Amy,1/15/2009 5:47,Product1,1200,Visa,Norfolk                     ,VA,United States,1/15/2009 0:21,1/19/2009 22:48,36.84667,-76.28556
Rebecca,1/19/2009 23:06,Product1,1200,Mastercard,Norfolk                     ,VA,United States,1/19/2009 22:53,1/19/2009 22:53,36.84667,-76.28556
Melissa,1/19/2009 11:12,Product1,1200,Visa,Aberdeen,Scotland,United Kingdom,8/27/2008 8:22,1/20/2009 0:35,57.1333333,-2.1
jeremy,1/4/2009 1:38,Product1,1200,Amex,Charlestown,New South Wales,Australia,7/15/2008 21:04,1/20/2009 1:08,-32.95,151.6666667
Randy,1/20/2009 3:11,Product1,1200,Visa,Wigan,England,United Kingdom,1/20/2009 3:02,1/20/2009 3:06,53.5333333,-2.6166667
Djeiny,1/3/2009 10:52,Product1,1200,Visa,Rockville                   ,MD,United States,4/18/2005 9:27,1/20/2009 6:47,39.01806,-77.20889
Amanda,1/20/2009 5:24,Product3 ,7500,Mastercard,Shreveport                  ,LA,United States,1/20/2009 5:13,1/20/2009 7:15,32.525,-93.75
Andrea ,1/20/2009 6:03,Product1,1200,Mastercard,Shreveport                  ,LA,United States,1/20/2009 5:13,1/20/2009 7:15,32.525,-93.75
Joanna,1/10/2009 11:37,Product1,1200,Amex,Little Silver               ,NJ,United States,12/28/2008 20:10,1/20/2009 7:42,40.33667,-74.0475
Jessica,1/20/2009 5:50,Product1,1200,Visa,Abbey Town,England,United Kingdom,1/20/2009 4:23,1/20/2009 7:46,54.8333333,-3.2833333
alison,1/19/2009 16:32,Product1,1200,Amex,Mid City West               ,PA,United States,1/19/2009 10:24,1/20/2009 10:09,39.95222,-75.16417
malin,1/18/2009 10:42,Product1,1200,Visa,Atlanta,Georgia,United States,1/18/2009 0:00,1/20/2009 11:09,33.74889,-84.38806
Tiffany ,1/7/2009 6:11,Product2,3600,Visa,Paris,Ile-de-France,France,1/7/2009 5:30,1/20/2009 11:22,48.8666667,2.3333333
Genevieve,1/3/2009 8:29,Product1,1200,Visa,Milton Keynes,England,United Kingdom,10/10/2008 1:26,1/20/2009 11:31,52.0333333,-0.7
Saraya,1/1/2009 2:09,Product1,1200,Mastercard,Dresden,Saxony,Germany,3/12/2006 11:31,1/20/2009 11:56,51.05,13.75
Anastasia,1/20/2009 12:34,Product1,1200,Mastercard,NYC                         ,NY,United States,1/20/2009 12:17,1/20/2009 12:55,40.71417,-74.00639
Elizabeth,1/20/2009 3:51,Product1,1200,Visa,The Grange,Queensland,Australia,11/12/2008 3:34,1/20/2009 13:11,-24.8166667,152.4166667
Nicole,1/15/2009 11:26,Product1,1200,Visa,Brookline                   ,MA,United States,7/11/2007 11:18,1/20/2009 14:01,42.33167,-71.12167
Jeffrey,1/5/2009 16:55,Product1,1200,Visa,Montreal-Nord,Quebec,Canada,9/29/2003 17:08,1/20/2009 14:38,45.6,-73.6166667
Blanca Gabriela ,1/12/2009 19:47,Product1,1200,Mastercard,Irving                      ,TX,United States,12/10/2008 21:49,1/20/2009 18:02,32.81389,-96.94861
Elisa,1/4/2009 19:20,Product1,1200,Amex,Ottawa Hills                ,OH,United States,1/4/2009 18:38,1/20/2009 18:03,41.66417,-83.64333
Patricia ,1/10/2009 8:33,Product2,3600,Mastercard,Portola Valley              ,CA,United States,2/4/2007 10:09,1/20/2009 22:06,37.38417,-122.23417
Bob,1/9/2009 14:51,Product1,1200,Visa,Sydney,New South Wales,Australia,1/7/2009 18:15,1/21/2009 0:29,-33.8833333,151.2166667
Kristyn,1/16/2009 2:41,Product3,7500,Visa,Kearns                      ,UT,United States,1/15/2009 18:01,1/21/2009 1:02,40.66,-111.99556
Elizabeth,1/16/2009 18:36,Product1,1200,Visa,Wollongong,New South Wales,Australia,11/1/2008 16:32,1/21/2009 1:49,-34.4333333,150.8833333
Cathy,1/20/2009 8:10,Product1,1200,Amex,Brooklyn                    ,NY,United States,8/5/2007 18:52,1/21/2009 5:16,40.65,-73.95
Kaylee,1/6/2009 12:45,Product2,3600,Amex,Penngrove                   ,CA,United States,1/5/2009 14:06,1/21/2009 11:18,38.29972,-122.66556
suzanne,1/10/2009 8:13,Product1,1200,Visa,Lemont                      ,IL,United States,1/9/2009 19:15,1/21/2009 11:35,41.67361,-88.00167
Cassandra,1/7/2009 14:15,Product1,1200,Mastercard,San Carlos                  ,CA,United States,1/5/2009 15:42,1/21/2009 12:00,37.50722,-122.25944
Jennifer,1/8/2009 15:27,Product1,1200,Mastercard,Chicago                     ,IL,United States,1/4/2009 22:22,1/21/2009 13:28,41.85,-87.65
nicole,1/21/2009 11:36,Product1,1200,Visa,Oslo,Oslo,Norway,12/23/2008 12:02,1/21/2009 13:47,59.9166667,10.75
Sean,1/21/2009 14:06,Product1,1200,Visa,Wantagh,NY,United States,1/21/2009 12:00,1/21/2009 14:06,40.68361,-73.51056
Morgan,1/2/2009 2:28,Product1,1200,Mastercard,Coomera,Queensland,Australia,5/3/2008 4:14,1/21/2009 16:37,-27.8833333,153.3
Harriet,1/19/2009 19:07,Product1,1200,Diners,Fort Oglethorpe             ,GA,United States,1/19/2009 16:52,1/21/2009 17:02,34.94889,-85.25694
Janine,1/18/2009 6:27,Product1,1200,Mastercard,Corbin City                 ,NJ,United States,10/27/2005 19:22,1/21/2009 17:10,39.24167,-74.81556
Debora,1/20/2009 11:58,Product1,1200,Mastercard,Lakeside                    ,CA,United States,11/1/2008 23:14,1/21/2009 17:25,32.85722,-116.92139
Vishpala,1/20/2009 16:32,Product1,1200,Visa,Margate                     ,FL,United States,1/2/2008 9:52,1/21/2009 19:05,26.30972,-80.2375
Emer,1/1/2009 7:09,Product1,1200,Amex,South Palm Beach            ,FL,United States,2/28/2005 5:40,1/21/2009 19:14,26.70528,-80.03667
john,1/21/2009 14:55,Product1,1200,Diners,New York                    ,NY,United States,1/21/2009 10:23,1/21/2009 20:34,40.71417,-74.00639
lailani,1/7/2009 22:29,Product1,1200,Mastercard,Anchorage                   ,AK,United States,1/7/2009 13:23,1/21/2009 22:30,61.21806,-149.90028
STEPHANIE,1/11/2009 22:22,Product2,3600,Visa,Mona Vale,New South Wales,Australia,12/30/2008 17:48,1/21/2009 22:33,-33.6666667,151.3
Tricia,1/21/2009 14:25,Product1,1200,Visa,Castricum,Noord-Holland,Netherlands,12/28/2007 15:28,1/22/2009 0:38,52.55,4.6666667
Celina,1/18/2009 16:50,Product1,1200,Visa,North Brunswick             ,NJ,United States,1/18/2009 16:25,1/22/2009 1:17,40.4497,-74.482
Rosemary,1/21/2009 12:08,Product2,3600,Visa,Jacksonville                ,FL,United States,1/21/2009 11:39,1/22/2009 6:13,30.33194,-81.65583
Patrick,1/22/2009 6:41,Product1,1200,Visa,Baytown                     ,TX,United States,1/22/2009 4:32,1/22/2009 6:54,29.73528,-94.97722
Jacob,1/12/2009 9:23,Product1,1200,Mastercard,Winter Haven                ,FL,United States,1/10/2009 14:55,1/22/2009 7:59,28.02194,-81.73306
elisabeth,1/22/2009 8:23,Product1,1200,Visa,Gonzaga Univ                ,WA,United States,1/22/2009 7:55,1/22/2009 8:14,47.65889,-117.425
ayelet,1/3/2009 6:41,Product2,3600,Visa,Malmo,Skane,Sweden,8/7/2008 9:24,1/22/2009 11:24,55.6,13
seemab,1/1/2009 12:20,Product2,3600,Visa,San Pawl tat-Targa, ,Malta,9/17/2005 3:32,1/22/2009 12:00,35.9202778,14.4425
Lucien,1/4/2009 22:00,Product2,3600,Amex,Wiesbaden,Hessen,Germany,1/4/2009 11:32,1/22/2009 12:21,50.0833333,8.25
Kevin ,1/21/2009 2:15,Product1,1200,Visa,London,England,United Kingdom,1/8/2009 2:50,1/22/2009 13:46,51.52721,0.14559
Liban,1/1/2009 14:22,Product1,1200,Mastercard,Stavanger,Rogaland,Norway,6/19/2008 10:48,1/22/2009 14:38,58.9666667,5.75
Lesley,1/16/2009 1:07,Product2,3600,Diners,Cork,Cork,Ireland,1/14/2009 4:10,1/22/2009 15:06,51.8986111,-8.4958333
Marie,1/20/2009 8:51,Product1,1200,Visa,Winchester                  ,MA,United States,7/23/2008 14:59,1/22/2009 18:08,42.45222,-71.1375
Charlene,1/4/2009 9:02,Product1,1200,Visa,Calgary,Alberta,Canada,12/13/2008 19:20,1/22/2009 19:27,51.0833333,-114.0833333
Orit,1/6/2009 8:34,Product1,1200,Visa,Dallas                      ,TX,United States,1/5/2009 15:00,1/22/2009 21:41,32.78333,-96.8
Alan,1/8/2009 4:16,Product1,1200,Visa,Malahide,Dublin,Ireland,4/18/2006 13:26,1/23/2009 2:21,53.4508333,-6.1544444
Anja Langer,1/23/2009 3:33,Product2,3600,Mastercard,Saint Paul                  ,MN,United States,1/23/2009 3:00,1/23/2009 3:00,44.94444,-93.09306
Lina,1/6/2009 4:18,Product1,1200,Visa,Edinburgh,Scotland,United Kingdom,1/6/2009 3:38,1/23/2009 3:22,55.95,-3.2
Larry,1/23/2009 3:30,Product1,1200,Amex,Naarden,Noord-Holland,Netherlands,1/23/2009 3:27,1/23/2009 3:40,52.3,5.15
Jessica,1/10/2009 4:04,Product1,1200,Visa,Oldenburg,Lower Saxony,Germany,12/20/2008 8:41,1/23/2009 5:28,53.1666667,8.2
Marion,1/5/2009 2:57,Product3,7500,Visa,Rennes,Brittany,France,12/29/2008 3:16,1/23/2009 7:29,48.0833333,-1.6833333
Eric,1/21/2009 14:15,Product1,1200,Amex,Ely                         ,NV,United States,1/21/2009 13:56,1/23/2009 10:35,39.2475,-114.88778
Miriane,1/21/2009 6:39,Product1,1200,Amex,Norfolk                     ,VA,United States,7/30/2007 21:10,1/23/2009 12:48,36.84667,-76.28556
Jeff,1/19/2009 8:14,Product1,1200,Visa,Houston                     ,TX,United States,1/4/2009 12:39,1/23/2009 12:52,29.76306,-95.36306
christina,1/23/2009 8:00,Product1,1200,Diners,Chepel,Budapest,Hungary,1/22/2009 9:55,1/23/2009 12:59,47.4166667,19.0833333
Shannon,1/22/2009 23:35,Product1,1200,Mastercard,Buffalo Grove               ,IL,United States,1/22/2009 23:23,1/23/2009 22:05,41.98111,-89.595
Angela,1/14/2009 3:09,Product1,1200,Mastercard,Newburgh,Scotland,United Kingdom,4/25/2007 5:08,1/24/2009 2:12,56.3333333,-3.25
Angela,1/16/2009 1:51,Product1,1200,Visa,Vienna,Vienna,Austria,1/16/2009 1:38,1/24/2009 5:39,48.2,16.3666667
Elaine,1/1/2009 6:29,Product1,1200,Mastercard,Vicenza,Veneto,Italy,8/3/2007 2:48,1/24/2009 5:51,45.55,11.55
Helen,1/21/2009 7:59,Product1,1200,Visa,Mechanics Grove             ,PA,United States,4/7/2008 17:15,1/24/2009 6:01,39.89694,-76.16389
Fatisha,1/23/2009 7:37,Product2,3600,Amex,Miami                       ,FL,United States,1/23/2009 6:32,1/24/2009 6:54,25.77389,-80.19389
Nina,1/18/2009 14:39,Product1,1200,Visa,Silver Spring               ,MD,United States,1/5/2009 15:43,1/24/2009 7:31,38.99056,-77.02639
Barbara,1/24/2009 9:01,Product2,3600,Visa,Kirriemuir,Scotland,United Kingdom,1/24/2009 8:02,1/24/2009 8:02,56.6666667,-3
Karen,1/15/2009 1:41,Product1,1200,Diners,Roquefort,Provence-Alpes-Cote d'Azur,France,1/14/2009 4:13,1/24/2009 8:36,43.25,5.6166667
Georgina,1/17/2009 7:23,Product1,1200,Visa,Portland                    ,OR,United States,11/28/2007 10:05,1/24/2009 8:54,45.52361,-122.675
Kellie,1/23/2009 11:37,Product1,1200,Diners,Staten Island               ,NY,United States,1/23/2009 10:42,1/24/2009 8:59,40.56472,-74.1275
Terry,1/19/2009 15:02,Product1,1200,Mastercard,San Antonio                 ,TX,United States,1/19/2009 14:43,1/24/2009 10:26,29.42389,-98.49333
LAURIE,1/11/2009 7:10,Product2,3600,Visa,Guildford,England,United Kingdom,3/7/2006 5:47,1/24/2009 14:54,51.2166667,-0.5666667
frauke,1/10/2009 3:28,Product1,1200,Visa,Horten,Vestfold,Norway,11/24/2008 15:50,1/24/2009 15:10,59.4136111,10.4669444
Cindy,1/7/2009 19:03,Product2,3600,Mastercard,Englewood                   ,CO,United States,12/17/2007 19:55,1/24/2009 19:19,39.64778,-104.98722
Simone,1/17/2009 14:02,Product1,1200,Visa,San Antonio                 ,TX,United States,12/7/2005 19:48,1/24/2009 21:29,29.42389,-98.49333
Hilde ,1/25/2009 0:09,Product1,1200,Visa,Princeville                 ,HI,United States,6/20/2008 22:08,1/25/2009 0:12,22.22361,-159.48528
Leah,1/9/2009 14:27,Product1,1200,Visa,Castleknock,Dublin,Ireland,6/14/2007 13:14,1/25/2009 0:57,53.3786111,-6.3922222
Laine,1/9/2009 14:32,Product1,1200,Visa,Castleknock,Dublin,Ireland,6/14/2007 13:14,1/25/2009 0:57,53.3786111,-6.3922222
kirsten,1/11/2009 15:59,Product1,1200,Visa,Bishops Stortford,England,United Kingdom,1/17/2006 8:51,1/25/2009 3:03,51.8666667,0.1666667
Elizabeth,1/6/2009 14:38,Product2,3600,Mastercard,Den Haag,Zuid-Holland,Netherlands,5/14/2007 12:48,1/25/2009 3:13,52.0833333,4.3
Anna,1/6/2009 9:52,Product1,1200,Mastercard,Lafayette                   ,CA,United States,1/3/2009 15:01,1/25/2009 10:19,37.88583,-122.11694
Babs,1/1/2009 9:21,Product1,1200,Diners,Blackpool,England,United Kingdom,1/1/2009 8:05,1/25/2009 10:52,53.8166667,-3.05
Gerlinde,1/3/2009 7:58,Product1,1200,Mastercard,Hellerup,Kobenhavn,Denmark,1/2/2009 12:27,1/25/2009 11:13,55.7333333,12.5833333
Hollyn,1/11/2009 11:36,Product1,1200,Mastercard,London,England,United Kingdom,10/14/2008 14:23,1/25/2009 11:16,51.51334,-0.08895
leiser,1/13/2009 14:53,Product1,1200,Visa,N Java                      ,NY,United States,1/13/2009 13:22,1/25/2009 11:33,42.68361,-78.33806
Irene,1/1/2009 10:06,Product2,3600,Mastercard,Munich,Bayern,Germany,1/1/2009 9:13,1/25/2009 11:37,48.15,11.5833333
Lisa,1/16/2009 5:07,Product1,1200,Amex,Brulon,Pays de la Loire,France,8/6/2007 7:48,1/25/2009 11:42,47.9666667,-0.2333333
Ann,1/6/2009 16:37,Product1,1200,Visa,Austin                      ,TX,United States,12/28/2008 12:31,1/25/2009 12:17,30.26694,-97.74278
Nichol Jane,1/18/2009 17:21,Product1,1200,Mastercard,Midland Park                ,NJ,United States,1/11/2009 20:59,1/25/2009 14:00,40.98917,-74.14111
Beatriz,1/13/2009 15:18,Product1,1200,Amex,Centerport                  ,NY,United States,1/13/2009 14:46,1/25/2009 14:01,40.88528,-73.37667
corina,1/24/2009 8:21,Product1,1200,Mastercard,Neustift am Walde,Vienna,Austria,7/19/2005 12:42,1/25/2009 14:22,48.25,16.3
manon,1/24/2009 8:25,Product1,1200,Mastercard,Neustift am Walde,Vienna,Austria,7/19/2005 12:42,1/25/2009 14:22,48.25,16.3
Isabelle,1/18/2009 13:06,Product1,1200,Diners,Shorewood                   ,MN,United States,1/18/2009 8:44,1/25/2009 14:49,44.90333,-93.56611
Lynne,1/22/2009 18:44,Product1,1200,Visa,Southlake                   ,TX,United States,1/22/2009 17:24,1/25/2009 15:02,32.94111,-97.13389
Doug,1/8/2009 8:58,Product1,1200,Mastercard,Huntington                  ,NY,United States,1/8/2009 8:22,1/25/2009 17:39,40.86806,-73.42611
AMY,1/4/2009 9:54,Product1,1200,Mastercard,The Woodlands               ,TX,United States,12/30/2008 20:41,1/25/2009 18:23,30.15778,-95.48917
Kim,1/13/2009 20:22,Product1,1200,Visa,Kelowna,British Columbia,Canada,8/2/2008 14:28,1/25/2009 19:25,49.9,-119.4833333
HELIDA,1/9/2009 10:22,Product1,1200,Mastercard,White House                 ,TN,United States,1/5/2009 14:49,1/25/2009 19:35,36.47028,-86.65139
Cameron,1/5/2009 12:28,Product1,1200,Visa,Rungsted,Frederiksborg,Denmark,1/5/2009 12:02,1/25/2009 23:22,55.8841667,12.5419444
Wendy,1/26/2009 3:43,Product1,1200,Mastercard,Lake Mahopac                ,NY,United States,1/26/2009 3:10,1/26/2009 3:10,41.37222,-73.73389
Jane,1/26/2009 3:49,Product2,3600,Mastercard,Biot,Provence-Alpes-Cote d'Azur,France,3/1/2008 0:00,1/26/2009 3:18,43.6333333,7.1
shelby,1/11/2009 13:16,Product2,3600,Visa,Plantation                  ,FL,United States,1/11/2009 12:20,1/26/2009 3:42,26.12194,-80.14361
Tara,1/22/2009 15:32,Product1,1200,Mastercard,Killiney,Dublin,Ireland,2/27/2007 11:35,1/26/2009 4:32,53.2522222,-6.1125
James,1/9/2009 14:25,Product1,1200,Amex,Guer,Brittany,France,4/7/2008 0:00,1/26/2009 5:32,47.9,-2.1166667
Heloise ,1/21/2009 11:28,Product1,800,Amex,Arlington                   ,VA,United States,9/25/2005 20:26,1/26/2009 6:23,38.89028,-77.08444
Gabriel,1/1/2009 14:19,Product1,1200,Mastercard,Three Hills,Alberta,Canada,5/21/2008 11:39,1/26/2009 7:17,51.7,-113.2666667
Jodie ,1/26/2009 4:30,Product1,1200,Visa,Great Falls,Virginia,United States,1/26/2009 0:00,1/26/2009 7:48,38.99806,-77.28861
Jeremy,1/7/2009 4:45,Product1,1200,Amex,London,England,United Kingdom,1/7/2009 4:30,1/26/2009 8:01,51.52721,0.14559
Helga,1/11/2009 12:12,Product1,1200,Visa,Clontarf,Dublin,Ireland,11/30/2005 12:50,1/26/2009 10:00,53.3591667,-6.2161111
Eleanor,1/26/2009 10:24,Product1,1200,Visa,Vancouver,British Columbia,Canada,12/1/2008 18:30,1/26/2009 10:12,49.25,-123.1333333
Miss,1/26/2009 8:58,Product1,1200,Diners,London,England,United Kingdom,1/26/2009 8:46,1/26/2009 11:14,51.52721,0.14559
Marie,1/7/2009 17:51,Product1,1200,Visa,Dickerson                   ,MD,United States,1/13/2006 9:38,1/26/2009 11:35,39.22,-77.42444
Lisa,1/18/2009 20:16,Product1,1200,Mastercard,Princeton                   ,NJ,United States,1/18/2009 19:47,1/26/2009 13:07,40.34861,-74.65944
Priska,1/13/2009 9:51,Product1,1200,Mastercard,Calgary,Alberta,Canada,1/4/2009 23:43,1/26/2009 17:24,51.0833333,-114.0833333
Katrine,1/24/2009 18:43,Product1,1200,Visa,North Tustin                ,CA,United States,1/11/2009 13:33,1/26/2009 21:29,33.76444,-117.79306
Lisa,1/5/2009 0:46,Product1,1200,Amex,Gurgaon,Haryana,India,1/2/2009 3:03,1/27/2009 0:17,28.4666667,77.0333333
Sabrina,1/9/2009 1:12,Product1,1200,Visa,Rambouillet,Ile-de-France,France,6/18/2008 6:35,1/27/2009 2:56,48.65,1.8333333
prof,1/26/2009 6:25,Product1,1200,Visa,Gladwyne                    ,PA,United States,1/19/2009 6:38,1/27/2009 3:58,40.04056,-75.27944
KeithMichelle,1/21/2009 16:57,Product1,1200,Mastercard,Houston                     ,TX,United States,1/21/2009 16:37,1/27/2009 4:43,29.76306,-95.36306
Kim,1/5/2009 5:33,Product1,1200,Mastercard,London,England,United Kingdom,12/8/2005 13:22,1/27/2009 4:49,51.52721,0.14559
anissa,1/27/2009 5:10,Product1,1200,Visa,Slough,England,United Kingdom,1/15/2009 10:07,1/27/2009 4:51,51.5,-0.5833333
john,1/7/2009 8:00,Product1,1200,Mastercard,Glan-Munchweiler,Rhineland-Palatinate,Germany,5/26/2005 7:00,1/27/2009 6:30,49.4666667,7.4333333
Miye,1/20/2009 7:08,Product2,3600,Visa,Downingtown                 ,PA,United States,1/19/2009 8:06,1/27/2009 6:38,40.00639,-75.70361
Heidi,1/27/2009 2:26,Product1,1200,Diners,MT Pleasant                 ,TX,United States,1/27/2009 2:16,1/27/2009 6:41,33.15667,-94.96806
T,1/5/2009 6:14,Product1,1200,Mastercard,Veigy-Foncenex,Rhone-Alpes,France,1/5/2009 4:52,1/27/2009 7:01,46.2666667,6.25
Daniele,1/13/2009 8:11,Product2,3600,Visa,Katy                        ,TX,United States,5/27/2008 11:01,1/27/2009 7:49,29.78556,-95.82417
luisa,1/10/2009 9:18,Product1,1200,Diners,Gorey, ,Jersey,5/9/2006 10:43,1/27/2009 7:51,49.2,-2.0333333
Nadine,1/8/2009 18:52,Product1,1200,Visa,Belgrade                    ,MT,United States,1/7/2009 15:30,1/27/2009 9:40,45.77611,-111.17611
Tina,1/12/2009 10:06,Product1,1200,Mastercard,Calgary,Alberta,Canada,1/10/2009 14:15,1/27/2009 14:26,51.0833333,-114.0833333
Damali,1/1/2009 19:25,Product1,1200,Diners,Toronto,Ontario,Canada,1/8/2008 20:41,1/27/2009 14:59,43.6666667,-79.4166667
Katherine,1/27/2009 15:28,Product1,1200,Visa,Corrales                    ,NM,United States,1/17/2009 17:52,1/27/2009 15:17,35.23778,-106.60611
Kathryn,1/2/2009 18:43,Product1,1200,Visa,Cork,Cork,Ireland,12/22/2008 15:39,1/27/2009 15:43,51.8986111,-8.4958333
Veronique,1/8/2009 18:41,Product1,1200,Diners,Tenafly                     ,NJ,United States,12/9/2007 17:59,1/27/2009 18:12,40.92528,-73.96333
Erica,1/4/2009 18:34,Product1,1200,Visa,Leesburg                    ,VA,United States,1/4/2009 16:53,1/27/2009 18:37,39.11556,-77.56389
L,1/25/2009 8:32,Product1,1200,Visa,Alcona,Ontario,Canada,9/17/2007 17:41,1/27/2009 19:53,50.0666667,-91.75
Diana,1/23/2009 22:19,Product1,1200,Mastercard,Kuala Lumpur,Kuala Lumpur,Malaysia,1/23/2009 22:10,1/27/2009 19:54,3.1666667,101.7
Emma,1/7/2009 10:03,Product1,1200,Mastercard,Sydney,New South Wales,Australia,12/1/2008 6:09,1/27/2009 20:18,-33.8833333,151.2166667
Marina,1/18/2009 3:46,Product1,1200,Visa,Nerang,Queensland,Australia,1/18/2009 0:54,1/27/2009 23:52,-27.9833333,153.3333333
Natalie ,1/28/2009 0:40,Product1,1200,Mastercard,Bryceville                  ,FL,United States,1/27/2009 22:04,1/28/2009 0:01,30.38444,-81.93889
Brenda,1/2/2009 15:18,Product1,1200,Diners,Saffron Walden,England,United Kingdom,9/1/2004 2:08,1/28/2009 1:26,52.0166667,0.25
Nita,1/18/2009 13:59,Product1,1200,Diners,Sutton,Dublin,Ireland,12/1/2005 19:57,1/28/2009 4:07,53.3905556,-6.1216667
Marian,1/16/2009 9:54,Product1,1200,Mastercard,Durban,KwaZulu-Natal,South Africa,8/3/2008 18:20,1/28/2009 6:26,-29.85,31.0166667
Kevin,1/28/2009 7:07,Product1,1200,Visa,Berkeswell,England,United Kingdom,1/28/2009 6:57,1/28/2009 7:18,52.4,-1.6333333
cari,1/28/2009 7:31,Product1,1200,Visa,Dryden                      ,VA,United States,1/28/2009 7:22,1/28/2009 7:34,36.7775,-82.94167
Cassandra,1/18/2009 12:32,Product1,1200,Visa,Santry,Dublin,Ireland,12/14/2008 14:26,1/28/2009 7:41,53.3986111,-6.2597222
Christof and Heidi,1/13/2009 14:05,Product1,1200,Amex,Barcelona,Catalonia,Spain,1/9/2009 7:54,1/28/2009 7:45,41.3833333,2.1833333
Ina,1/28/2009 7:49,Product1,1200,Visa,Fayetteville                ,NC,United States,1/28/2009 7:45,1/28/2009 7:47,35.0525,-78.87861
Lisa,1/28/2009 3:07,Product1,1200,Visa,Anse Comeau,Quebec,Canada,1/26/2009 11:47,1/28/2009 8:08,49.2166667,-68.15
Camille and Carmen,1/12/2009 15:16,Product1,1200,Visa,Thorlakshofn, ,Iceland,1/12/2009 11:41,1/28/2009 8:44,63.85,-21.3666667
Trina,1/6/2009 11:17,Product2,3600,Visa,Overland                    ,KS,United States,2/21/2008 8:53,1/28/2009 9:23,38.98222,-94.67056
Ginger,1/23/2009 9:49,Product1,1200,Visa,King City,Ontario,Canada,1/23/2009 8:18,1/28/2009 9:43,43.9333333,-79.5333333
breon,1/24/2009 4:01,Product1,1200,Visa,Leighton Buzzard,England,United Kingdom,1/7/2006 10:56,1/28/2009 10:12,51.9166667,-0.65
Marion,1/25/2009 18:21,Product1,1200,Visa,Umea,Vasterbotten,Sweden,1/25/2009 16:35,1/28/2009 10:19,63.8333333,20.25
Pia ,1/15/2009 10:51,Product1,1200,Mastercard,Sola,Rogaland,Norway,1/11/2009 8:54,1/28/2009 10:39,58.8833333,5.6
Dr. Donald,1/2/2009 5:14,Product1,1200,Visa,Stockton-on-Tees,England,United Kingdom,1/1/2005 6:03,1/28/2009 11:07,54.5833333,-1.4166667
Jenna and Paul,1/9/2009 10:35,Product2,3600,Visa,Senatobia                   ,MS,United States,1/8/2009 14:02,1/28/2009 11:08,34.6175,-89.96861
Rebecca,1/4/2009 10:16,Product1,1200,Mastercard,Berlin,Berlin,Germany,12/28/2008 10:50,1/28/2009 11:09,52.5166667,13.4
Monique,1/2/2009 12:16,Product1,1200,Mastercard,Waldorf                     ,MD,United States,12/11/2008 6:16,1/28/2009 12:07,38.62444,-76.93944
lilia ,1/28/2009 12:31,Product1,1200,Diners,Brooklyn                    ,NY,United States,1/28/2009 12:21,1/28/2009 12:30,40.65,-73.95
Lainey,1/14/2009 12:07,Product1,1200,Mastercard,Lakeville                   ,MN,United States,1/13/2009 22:28,1/28/2009 12:37,44.64972,-93.2425
Jag,1/16/2009 7:20,Product2,3600,Mastercard,Saint-Cergues,Rhone-Alpes,France,1/15/2009 4:53,1/28/2009 12:43,46.2333333,6.3166667
Charlene ,1/6/2009 9:55,Product1,1200,Mastercard,Vancouver,British Columbia,Canada,10/7/2008 14:55,1/28/2009 13:17,49.25,-123.1333333
Fiona,1/7/2009 12:55,Product1,1200,Amex,Stamford                    ,CT,United States,1/5/2009 6:26,1/28/2009 13:24,41.05333,-73.53917
burt,1/19/2009 12:14,Product1,1200,Mastercard,Rathfarnham,Dublin,Ireland,5/10/2008 7:07,1/28/2009 13:28,53.3005556,-6.2827778
Maggie,1/13/2009 15:19,Product2,3600,Visa,Paris,Ile-de-France,France,6/27/2007 4:41,1/28/2009 14:11,48.8666667,2.3333333
Stanford,1/18/2009 8:56,Product1,1200,Mastercard,Howell                      ,MI,United States,1/30/2008 13:16,1/28/2009 14:37,42.60722,-83.92944
ruth,1/4/2009 17:54,Product1,1200,Amex,Encinitas                   ,CA,United States,1/1/2009 10:12,1/28/2009 15:13,33.03694,-117.29111
Courtney,1/5/2009 13:46,Product1,1200,Visa,Atchison                    ,KS,United States,11/11/2008 14:19,1/28/2009 17:10,39.56306,-95.12139
Courtney,1/5/2009 10:49,Product2,3600,Amex,Mililani                    ,HI,United States,8/23/2007 0:00,1/28/2009 18:13,21.42556,-157.96083
Anthony,1/12/2009 18:24,Product1,1200,Diners,Victor                      ,NY,United States,12/18/2008 7:14,1/28/2009 18:19,42.9825,-77.40917
Eleanor,1/18/2009 4:01,Product1,1200,Visa,Fairbanks                   ,AK,United States,1/6/2009 0:18,1/28/2009 23:56,64.83778,-147.71639
GAIA,1/16/2009 10:58,Product1,1200,Visa,Soro,Vestsjalland,Denmark,7/27/2007 7:22,1/29/2009 3:16,55.4333333,11.5666667
Zane,1/13/2009 8:20,Product1,1200,Mastercard,Warlingham,England,United Kingdom,3/4/2005 5:51,1/29/2009 3:25,51.3,-0.05
Beate,1/12/2009 1:42,Product1,1200,Mastercard,Hamburg,Hamburg,Germany,1/7/2009 7:56,1/29/2009 4:33,53.55,10
BALA,1/28/2009 13:07,Product1,1200,Amex,Accokeek                    ,MD,United States,11/29/2007 5:56,1/29/2009 4:40,38.6675,-77.02861
